,genes
546,Nptx2
547,Thrsp
548,Nell1
549,Gadd45a
550,Slc44a5
551,Gsg1l
552,Ptpre
553,Pde1c
554,Ntrk3
555,Tenm3
556,Trib2
557,Drd1
558,Col5a1
559,LOC105244376
560,Sytl2
561,Grin2a
562,Scn2b
563,Ctgf
564,E130012A19Rik
565,LOC105245487
566,Synpo
567,Opcml
568,Vat1l
569,Hbegf
570,Runx1t1
571,Enc1
572,Rims3
573,Cacna1e
574,Cacng5
575,Slc8a2
576,Unc5c
577,Syt17
578,Kcnip4
579,9630002D21Rik
580,Rnf144b
581,Rgs9
582,Zar1l
583,Plxnd1
584,Ankrd55
585,Kcnj4
586,Kctd12
587,Lppr3
588,Tmod1
589,Ptchd2
590,Bend5
591,Snca
592,Bai2
593,2310075C17Rik
594,A830009L08Rik
595,Ccdc80
596,Srgap3
597,Adra1a
598,Uchl1
599,Nr4a2
600,Itgav
601,Dusp14
602,Eps8
603,Bhlhe40
604,Egfem1
605,Pkib
606,Cpne9
607,Mme
608,Jup
609,Dleu7
610,Llgl2
611,Prmt8
612,Ext1
613,Hspb3
614,Dpp10
615,Wls
616,Fibcd1
617,Fam189a1
618,Ncam2
619,Lrp1b
620,Cacng3
621,Klhl14
622,Clstn1
623,Qrfpr
624,Pbx3
625,Pcdhgc5
626,Rab40b
627,AF529169
628,Fmnl1
629,Cpne4
630,Tubb2b
631,Rspo2
632,Camk1g
633,D030045P18Rik
634,Doc2a
635,Glt8d2
636,Rell1
637,Sphkap
638,Gng13
639,Snrpn
640,LOC102636041
641,Rgma
642,AI413582
643,Fam150b
644,Zdhhc22
645,Rspo1
646,Fam163a
647,Col24a1
648,Camk2d
649,Socs2
650,Efna1
651,Tbata
652,Ifitm10
653,Limch1
654,Fam49a
655,1110032F04Rik
656,Lhfpl5
657,Mast3
658,Pip5k1b
659,Npr3
660,Mn1
661,Hlf
662,Arhgap24
663,Elmo1
664,Gca
665,Icam5
666,Barx2
667,Zeb2
668,Mapk11
669,BC030499
670,Rab3b
671,Tmem108
672,Mtcl1
673,Pdzrn3
674,Cst6
675,Syt7
676,Myo5b
677,Lrrc4c
678,Rnf39
679,Unc13b
680,Dab1
681,Cntn4
682,Col11a1
683,Frmd6
684,Gad1-ps
685,Rcan2
686,Chat
687,Plch2
688,Cntn6
689,C1qtnf7
690,Ddit4l
691,Adcy1
692,Tspan9
693,Gdpd5
694,I830012O16Rik
695,Hrh3
696,Pxdc1
697,Gng7
698,Zfp804a
699,Sema7a
700,Lama4
701,Sfrp2
702,Stard13
703,Amn
704,Ltk
705,Stxbp2
706,Cygb
707,Grik4
708,Man1a
709,Prdm1
710,Lsp1
711,Igfn1
712,Nwd2
713,Myo1e
714,B3glct
715,LOC105246832
716,Crygs
717,Lxn
718,Cplx2
719,Zfp941
720,Lmo1
721,Mdga1
722,Endou
723,Snx8
724,4930426D05Rik
725,Hopx
726,LOC102638670
727,Ngef
728,Cdh4
729,Dscaml1
730,Serpina12
731,Mctp1
732,Spats2l
733,Poc1a
734,4930452B06Rik
735,Plcxd2
736,Pcsk1
737,LOC105245190
738,Gpr176
739,Gpr150
740,Nkain3
741,BC030867
742,Cdh8
743,Pcbd1
744,A830018L16Rik
745,Scn4b
746,Car7
747,Fam114a1
748,Arhgap15
749,Flt3
750,Mrap2
751,Tshz2
752,Gcnt4
753,Fbxl7
754,Tacr1
755,Sertad1
756,Ankrd34b
757,Kcnc1
758,Trpc4
759,Raver2
760,Tmem132e
761,Rab26
762,Gadd45b
763,Dusp18
764,Cntn5
765,Apbb1ip
766,P2ry1
767,A330009N23Rik
768,Il12a
769,Camk1d
770,Dnajb5
771,Cdkl4
772,Camk4
773,Chrna5
774,Boc
775,Colq
776,Slc35g2
777,Ano4
778,Egr1
779,Arhgef28
780,Neto1
781,Efna5
782,Nenf
783,Gpr139
784,Rasd2
785,Wnt5b
786,Zfp703
787,Frmpd1
788,Il11ra1
789,Ntn1
790,Tle4
791,Gabra2
792,Phactr2
793,Cdkn1a
794,Tmem200a
795,Chrm3
796,Fam131c
797,Ece2
798,Abcc4
799,Cd7
800,Nrip3
801,Rasgef1c
802,Slit1
803,Snx7
804,Ank1
805,Klf3
806,Nrsn2
807,Epha6
808,Ngb
809,Rasgrf1
810,Rsph9
811,Cnn3
812,Tm6sf1
813,Syndig1l
814,2900026A02Rik
815,Dennd2a
816,Hrasls
817,Bok
818,Adssl1
819,Zfp467
820,Medag
821,Chrna2
822,Cntn3
823,Nrep
824,Zfp831
825,Adamtsl2
826,Nts
827,Esrrg
828,Cd55
829,BC006965
830,Kctd16
831,Cdh10
